DATA_BASE,UF,MUNICIPIO,NOME_INSTITUICAO,VERBETE_160_OPERACOES_DE_CREDITO,VERBETE_420_DEPOSITOS_DE_POUPANCA,VERBETE_432_DEPOSITOS_A_PRAZO
198807,SC,ITAJAI,BCO DO BRASIL S.A.,2405283636.0,512907216.0,115395458.0
198807,SC,ITAJAI,BCO REAL S.A.,145417419.0,0.0,0.0
198807,SC,ITAJAI,UNIBANCO-UNIAO BCOS BRAS S.A.,79334887.0,0.0,0.0
198807,SC,ITAJAI,ITAÚ UNIBANCO S.A.,134102488.0,0.0,0.0
198807,SC,ITAJAI,BCO BRADESCO S.A.,68771624.0,0.0,0.0
198807,SC,ITAJAI,BCO COM E INV SUDAMERIS S.A.,259583933.0,0.0,0.0
198807,SC,ITAJAI,BANCO SISTEMA,189094454.0,0.0,0.0
198807,SC,ITAJAI,BCO DO EST. DE SC S.A.,85805941.0,0.0,55265945.0
198807,SC,ITAJAI,BCO SANTANDER (BRASIL) S.A.,116231658.0,0.0,0.0
198807,SC,CRICIUMA,BCO DO BRASIL S.A.,6154577991.0,804859219.0,227270807.0
198807,SC,CRICIUMA,BCO REAL S.A.,152916125.0,0.0,0.0
198807,SC,CRICIUMA,BCO NACIONAL,427299010.0,0.0,0.0
198807,SC,CRICIUMA,BCO BRADESCO BERJ S.A.,653168361.0,0.0,3500560.0
198807,SC,CRICIUMA,UNIBANCO-UNIAO BCOS BRAS S.A.,276712764.0,0.0,0.0
198807,SC,CRICIUMA,ITAÚ UNIBANCO S.A.,328285804.0,0.0,0.0
198807,SC,CRICIUMA,BCO BRADESCO S.A.,822361599.0,0.0,0.0
198807,SC,CRICIUMA,BCO MERCANTIL DE SP,11176746.0,0.0,228492818.0
198807,SC,CRICIUMA,BANCO SISTEMA,92658135.0,0.0,0.0
198807,SC,CRICIUMA,BCO DO EST. DE SC S.A.,211814753.0,0.0,12107475.0
198807,SC,CRICIUMA,BCO SANTANDER (BRASIL) S.A.,674960144.0,0.0,0.0
198807,SC,CRICIUMA,BCO DO ESTADO DO RS S.A.,175373480.0,0.0,0.0
198807,SC,BLUMENAU,BCO DO BRASIL S.A.,79333639167.0,1765508350.0,516871505.0
198807,SC,BLUMENAU,BCO ECONOMICO,381553315.0,0.0,0.0
198807,SC,BLUMENAU,BCO REAL S.A.,3410272212.0,0.0,0.0
198807,SC,BLUMENAU,BCO NACIONAL,125302974.0,0.0,0.0
198807,SC,BLUMENAU,BCO MERCANTIL DO BRASIL S.A.,31845495.0,0.0,33714408.0
198807,SC,BLUMENAU,BCO CREDITO REAL MG S.A.,166505799.0,0.0,9278700.0
198807,SC,BLUMENAU,CITIBANK N.A.,13524395932.0,0.0,981819453.0
198807,SC,BLUMENAU,BANKBOSTON ADMINISTRAÇÃO,135455131.0,0.0,0.0
198807,SC,BLUMENAU,BCO BRADESCO BERJ S.A.,621468453.0,0.0,15458897.0
198807,SC,BLUMENAU,BCO J.P. MORGAN S.A.,4603416624.0,0.0,0.0
198807,SC,BLUMENAU,BCO HOLANDES UNIDO S.A.,4083119590.0,0.0,0.0
198807,SC,BLUMENAU,BCO BOAVISTA INTERATLANTICO S.A.,2697910574.0,0.0,7776362.0
198807,SC,BLUMENAU,BCO SAFRA S.A.,3606183496.0,0.0,0.0
198807,SC,BLUMENAU,ITAÚ UNIBANCO S.A.,10315653054.0,0.0,0.0
198807,SC,BLUMENAU,BCO BRADESCO S.A.,6462835606.0,0.0,0.0
198807,SC,BLUMENAU,ITAÚ UNIBANCO HOLDING S.A.,3753332732.0,0.0,95595796.0
198807,SC,BLUMENAU,BCO BCN S.A.,2587428606.0,0.0,0.0
198807,SC,BLUMENAU,BCO MERCANTIL DE SP,170537982.0,0.0,29901360.0
